Child_Mort,Exports,Health,Imports,Income,Inflation,Life Expect,Total_Fert,GDPP,Class Value
High,Low,Average,Medium,Low,High,Low,High,Low,N
Medium,Medium,Average,Medium,Medium,Medium,High,Low,Medium,N
Medium,Medium,Bad,Low,Medium,High,High,Medium,Medium,N
High,High,Bad,Medium,Medium,High,Low,High,Medium,N
Low,Medium,Average,High,High,Low,High,Medium,High,Y
Medium,Low,Good,Low,High,High,Medium,Medium,Medium,N
Medium,Low,Bad,Medium,Medium,Medium,Medium,Low,Medium,N
Low,Low,Good,Low,High,Low,High,Medium,High,N
Low,High,Good,Medium,High,Low,High,Low,High,Y
Medium,High,Average,Low,Medium,High,Medium,Low,Medium,N
Medium,Medium,Good,Medium,High,Low,Medium,Low,High,N
Low,High,Bad,Medium,High,Medium,Medium,Medium,High,Y
High,Low,Bad,Low,Low,Medium,Medium,Medium,Low,N
Medium,Medium,Good,Medium,Medium,Low,High,Low,High,Y
Low,High,Average,High,Medium,High,Medium,Low,Medium,N
Low,High,Good,High,High,Low,High,Low,High,Y
Medium,High,Average,High,Medium,Low,Medium,Medium,Medium,N
High,Low,Bad,Medium,Low,Low,Low,High,Low,N
High,Medium,Bad,High,Medium,Medium,Medium,Medium,Low,Y
High,Medium,Bad,Medium,Medium,High,Medium,High,Low,N
Low,Medium,Good,Medium,Medium,Low,High,Low,Medium,N
High,Medium,Good,Medium,Medium,High,Low,Medium,Medium,N
Medium,Low,Good,Low,Medium,Medium,Medium,Low,High,Y
Low,High,Bad,Low,High,High,High,Low,High,N
Low,High,Average,High,Medium,Low,Medium,Low,Medium,N
High,Low,Average,Low,Low,Medium,Low,High,Low,N
High,Low,Good,Medium,Low,High,Low,High,Low,N
High,High,Average,High,Low,Medium,Low,Medium,Low,N
High,Low,Bad,Low,Low,Low,Low,High,Low,N
Low,Medium,Good,Low,High,Medium,High,Low,High,Y
Medium,Medium,Bad,High,Medium,Low,Medium,Medium,Medium,N
High,Low,Bad,Low,Low,Low,Low,High,Low,N
High,Medium,Bad,Medium,Low,Medium,Low,High,Low,N
Low,Medium,Good,Low,High,High,High,Low,High,Y
Medium,Low,Bad,Low,Medium,Medium,Medium,Low,Medium,N
Medium,Low,Average,Low,Medium,Medium,High,Medium,Medium,N
High,Low,Bad,Medium,Low,Medium,Low,High,Low,N
High,Medium,Good,Medium,Low,High,Low,High,Low,N
High,High,Bad,High,Low,High,Low,High,Low,N
Low,Medium,Good,Medium,Medium,Medium,High,Low,Medium,N
High,High,Average,Medium,Low,Medium,Low,High,Low,N
Low,Medium,Average,Medium,High,Low,High,Low,High,Y
Low,High,Average,High,High,Low,High,Low,High,Y
Low,High,Good,High,High,Low,High,Low,High,Y
Low,High,Good,Medium,High,Medium,High,Low,High,Y
Medium,Low,Average,Low,Medium,Medium,Medium,Medium,Medium,Y
Medium,Medium,Good,Low,Medium,Medium,High,Medium,Medium,N
Medium,Low,Bad,Low,Medium,High,Medium,High,Low,N
Medium,Medium,Average,Medium,Medium,Medium,Medium,Medium,Medium,N
High,High,Bad,High,High,High,Low,High,High,N
High,Low,Bad,Low,Low,High,Low,High,Low,N
Low,High,Average,High,High,Low,Medium,Low,High,Y
Medium,High,Bad,High,Medium,Medium,Low,Medium,Medium,N
Low,Medium,Good,Medium,High,Low,High,Low,High,Y
Low,Low,Good,Low,High,Low,High,Medium,High,Y
High,High,Bad,Low,Medium,High,Low,High,Medium,N
